job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
6e627cc7a33f367d,myjobmag,event-rental-sales-representative-luxelayer-rentals,Event Rental Sales Representative at Luxelayer Rentals,Luxelayer Rentals,"We are a luxury event rental business in Nigeria, dedicated to providing high-quality, stylish, and sophisticated rental solutions for memorable occasions. We offer a carefully curated range of premiu...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/event-rental-sales-representative-luxelayer-rentals,2026-09-12T22:24:59+00:00
dd07c97a975371ad,myjobmag,business-development-manager-nigerian-digital-partnerships-testamy-ai-systems-ltd,Business Development Manager - Nigerian Digital Partnerships at Testamy AI Systems Ltd,Testamy AI Systems Ltd,"Full-AI Recruitment software to source and hire candidates. Tailored for HR teams, recruitment agencies and headhunters.",,Nigeria,unknown,,,,,,,,,,,Data & AI,https://www.myjobmag.com/job/business-development-manager-nigerian-digital-partnerships-testamy-ai-systems-ltd,2026-09-12T22:24:59+00:00
88bbfcef73dab234,myjobmag,pre-sales-engineer,Pre-Sales Engineer at a Reputable Company,,This company is looking to recruit qualified applicants for Pre-Sales Engineer role,,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/pre-sales-engineer,2026-09-12T22:24:59+00:00
2898702e14f88cb9,myjobmag,van-sales-representative-total-data-limited-6,Van Sales Representative at Total Data Limited,Total Data Limited,"TDL is a well established full service Internet provider. We offer the best managed dedicated server solutions available combined with unbeatable support and maintenance. Since 1994, TDL has Hosted...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/van-sales-representative-total-data-limited-6,2026-09-12T22:24:59+00:00
8c18de2742c2b4e5,myjobmag,credit-officer-port-harcourt-entourage-integrated-trust-limited-11,Credit Officer - Port Harcourt at Entourage Integrated Trust Limited,Entourage Integrated Trust Limited,"Entourage Integrated Trust Limited is an investment company, and our core business is lending, leasing, venture capitalist and microfinance.",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/credit-officer-port-harcourt-entourage-integrated-trust-limited-11,2026-09-12T22:24:59+00:00
33f7c7f7066f32e3,myjobmag,sales-business-development-officer-temsta-systems-ltd,Sales & Business Development Officer at Temsta Systems Ltd,Temsta Systems Ltd,"A Lagos based startup in the IT and E-Commerce sector. Our services include web design and hosting, digital marketing, e-commerce and IT rentals.We focus on providing IT support to SMEs in Africa....",,Nigeria,unknown,,,,,,,,,,,IT Support & Networking,https://www.myjobmag.com/job/sales-business-development-officer-temsta-systems-ltd,2026-09-12T22:24:59+00:00
97718c913b8c9abf,myjobmag,aqua-technical-executive-lagos-olam-agri,Aqua Technical Executive - Lagos,Olam Agri,"Olam Agri is a market-leading, differentiated food, feed, and fiber agri-business with a global origination footprint, processing capabilities, and deep understanding of market needs built over 33 yea...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/aqua-technical-executive-lagos-olam-agri,2026-09-12T22:25:03+00:00
1cace7ff82662965,myjobmag,aqua-technical-executive-abuja-olam-agri,Aqua Technical Executive - Abuja,Olam Agri,"Olam Agri is a market-leading, differentiated food, feed, and fiber agri-business with a global origination footprint, processing capabilities, and deep understanding of market needs built over 33 yea...",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/aqua-technical-executive-abuja-olam-agri,2026-09-12T22:25:03+00:00
ce7903fbd5aad523,myjobmag,deputy-general-manager-quality-assurance-control-dangote,"Deputy General Manager, Quality Assurance & Control at Dangote",Dangote,The Dangote Group is one of the most diversified business conglomerates in Africa with a hard-earned reputation for excellent business practices and products' quality with its operational headquarters...,,Nigeria,unknown,,,,,,,,,,,QA & Testing,https://www.myjobmag.com/job/deputy-general-manager-quality-assurance-control-dangote,2026-09-12T22:25:03+00:00
7532b114583adc28,myjobmag,computer-science-teacher-word-of-faith-group-of-schools-2,Computer Science Teacher,Word of Faith Group of Schools,"Welcome to Word of Faith Schools, the flagship of Christian Education in Africa. I am delighted to inform you of the wise choice you have made to come to this institution. It is, indeed, an informed and intelligent choice. This is because the school has tremendous spiritual and academic heritage, together with abundant opportunities for the maximization of your potential.",,Nigeria,unknown,,,,,,,,,,,Other Tech,https://www.myjobmag.com/job/computer-science-teacher-word-of-faith-group-of-schools-2,2026-09-12T22:25:03+00:00
