job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
1b61538a372947c7,jobicy,152057,Multigres Engineer,Supabase,"Supabase is the Postgres development platform, built by developers for developers. We provide a complete backend solution including Database, Auth, Storage, Edge Functions, Realtime, and Vector Search. All services are deeply integrated and designed for growth. We're looking for an engineer to help build the future of distributed Postgres. You'll work on Multigres, our open-source&hellip;",Anywhere,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,,2026-08-29T17:26:24+00:00,,Software Development,https://jobicy.com/jobs/152057-multigres-engineer,2026-08-30T15:05:35+00:00
510a7a17322d621f,jobicy,152047,Senior Backend Engineer - Gen AI,Zartis,"The company and our mission: Zartis is a global AI transformation and technology consulting partner where talented engineers and technologists work on cutting edge innovation. We partner with ambitious organizations to design, build, and scale technology solutions that deliver real impact. Our teams bring deep expertise in AI driven platforms, secure API architectures, and cloud&hellip;",Europe,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,,2026-08-29T16:33:34+00:00,,Software Development,https://jobicy.com/jobs/152047-senior-backend-engineer-gen-ai,2026-08-30T15:05:35+00:00
a99ad67219138f97,jobicy,152045,Lead Data Architect,Zartis,"The company and our mission: Zartis is a global AI transformation and technology consulting partner where talented engineers and technologists work on cutting edge innovation. We partner with ambitious organizations to design, build, and scale technology solutions that deliver real impact. Our teams bring deep expertise in AI driven platforms, secure API architectures, and cloud native engineering.&hellip;",Europe,Any (Global Remote),remote,Global,,Data Science & Analytics,Full-Time,,,,,2026-08-29T16:33:30+00:00,,Data & AI,https://jobicy.com/jobs/152045-lead-data-architect,2026-08-30T15:05:35+00:00
66676176f922511a,jobicy,152043,Senior QA Automation Engineer (Boosters),Playson,"Founded in 2012, Playson is a leading iGaming supplier recognized worldwide. We provide our customers with a high-end micro-service-based platform as a service that aims to process billions of financial transactions per day.Our promotional features team is seeking a Senior QA Automation Engineer who can digs into every feature, builds their own risk-based test strategy,&hellip;",Europe,Any (Global Remote),remote,Global,,QA & Testing,Full-Time,,,,,2026-08-29T16:33:27+00:00,,Other Tech,https://jobicy.com/jobs/152043-senior-qa-automation-engineer-boosters,2026-08-30T15:05:35+00:00
0e1d419e6e179df7,jobicy,152042,.NET Software Architect,Zartis,".NET Software Architect The company and our mission: Zartis is a global AI transformation and technology consulting partner where talented engineers and technologists work on cutting edge innovation. We partner with ambitious organizations to design, build, and scale technology solutions that deliver real impact. Our teams bring deep expertise in AI driven platforms, secure&hellip;",Europe,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,,2026-08-29T16:33:25+00:00,,Data & AI,https://jobicy.com/jobs/152042-net-software-architect,2026-08-30T15:05:35+00:00
6e37e4c49558ed7e,jobicy,152041,Senior Database Administrator - Core Infrastructure,Kraken,"Building the Future of Open FinancePayward - the parent company behind Kraken, NinjaTrader, Breakout, xStocks, Payward Services and CF Benchmarks - has spent the last 15 years building one of the most modern and globally accessible financial infrastructure platforms in the industry, built to advance an open, global financial system.Before you apply, we encourage you&hellip;","Bulgaria, Cyprus, Czechia, Europe, Hungary, Ireland, Lithuania, Poland, Portugal, Romania, Spain, Switzerland, UAE, UK",Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,,2026-08-29T16:33:23+00:00,,Other Tech,https://jobicy.com/jobs/152041-senior-database-administrator-core-infrastructure,2026-08-30T15:05:35+00:00
d307a13234f0dd26,jobicy,152039,Backend Java Engineer - Kazakhstan/Russian speaker (6 months Contract),Binance,"Binance is a leading global blockchain ecosystem behind the world’s largest cryptocurrency exchange by trading volume and registered users. We are trusted by 300+ million people in 100+ countries for our industry-leading security, user fund transparency, trading engine speed, deep liquidity, and an unmatched portfolio of digital-asset products. Binance offerings range from trading and finance&hellip;",Europe,Any (Global Remote),remote,Global,,Software Engineering,Contract,,,,,2026-08-29T16:33:20+00:00,,Software Development,https://jobicy.com/jobs/152039-backend-java-engineer-kazakhstan-russian-speaker-6-months-contract,2026-08-30T15:05:35+00:00
2a48d6e09e32eeb8,jobicy,152038,AI Augmented Software Engineer [gn] Data Intelligence Platform,Actian,"Actian is the company behind the Data Intelligence Platform — an enterprise solution that helps organisations discover, govern, and trust their data at scale. Our platform connects metadata, data lineage, data quality, and business context into a single knowledge graph, enabling enterprises to turn raw data into reliable decisions. We operate globally, move fast, and&hellip;",Europe,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,,2026-08-29T16:33:18+00:00,,Software Development,https://jobicy.com/jobs/152038-ai-augmented-software-engineer-gn-data-intelligence-platform,2026-08-30T15:05:35+00:00
f23c803a83a1e59c,jobicy,152019,Informatica Admin,NTT DATA,"Job Title: Informatica Admin (IDMC)Location Preference: 100% remote in LATAM working EST Time Zone Duration/Rate: 1-Year Assignment with possibility of extension and paying up to $22/hr USDNTT DATA is a team of more than 139,000 diverse professionals operating in more than 50 countries worldwide. Our sectors of activity include telecommunications, finance, industry, utilities, energy, public administration,&hellip;",LATAM,Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,USD,2026-08-29T16:23:21+00:00,,Other Tech,https://jobicy.com/jobs/152019-informatica-admin,2026-08-30T15:05:35+00:00
95fc59b23de3e416,jobicy,152012,Operational Business Analyst & Incident Manager (Technology and Transformation),NTT DATA,"Job Title: Operational Business Analyst &amp; Incident Manager Location Preference: 100% remote in LATAM working EST Time Zone Duration: 1-Year Assignment with possibility of extension Freelance Rate Range: $27-28/hr USD based on relevant experienceNTT DATA is a team of more than 139,000 diverse professionals operating in more than 50 countries worldwide. Our sectors of activity include telecommunications, finance,&hellip;",LATAM,Any (Global Remote),remote,Global,,Product & Operations,Full-Time,,,,USD,2026-08-29T16:23:10+00:00,,Other Tech,https://jobicy.com/jobs/152012-operational-business-analyst-incident-manager-technology-and-transformation,2026-08-30T15:05:35+00:00
