job_id,source,source_job_id,job_title,company,job_description,location,country,work_mode,remote_scope,job_field,industry,employment_type,experience_required,education_required,salary,currency,date_posted,application_deadline,tech_category,vacancy_url,scraped_at
0347e5618291ba44,jobicy,152594,"Senior Manager, Fund Administration (Accounting)",Juniper Square,"About Juniper Square Private markets are one of the largest, most complex, and most underserved corners of global finance. Our mission at Juniper Square is to unlock their full potential. We’re the Operations Partner trusted by 2,300+ GPs, unifying technology, data, and fund administration services into a single platform that helps GPs move faster, make&hellip;","Canada, USA",Any (Global Remote),remote,Global,,Finance & Accounting,Full-Time,,,,USD,2026-09-05T11:26:28+00:00,,Other Tech,https://jobicy.com/jobs/152594-senior-manager-fund-administration-accounting,2026-09-05T17:43:14+00:00
8e9908cefbc5c0e6,jobicy,152591,"Manager, Fund Administration (Accounting)",Juniper Square,"About Juniper Square Private markets are one of the largest, most complex, and most underserved corners of global finance. Our mission at Juniper Square is to unlock their full potential. We’re the Operations Partner trusted by 2,300+ GPs, unifying technology, data, and fund administration services into a single platform that helps GPs move faster, make&hellip;","Canada, USA",Any (Global Remote),remote,Global,,Finance & Accounting,Full-Time,,,,USD,2026-09-05T11:25:40+00:00,,Other Tech,https://jobicy.com/jobs/152591-manager-fund-administration-accounting,2026-09-05T17:43:14+00:00
6640b927b034e407,jobicy,152588,"Director, Fund Administration (Accounting)",Juniper Square,"About Juniper Square Private markets are one of the largest, most complex, and most underserved corners of global finance. Our mission at Juniper Square is to unlock their full potential. We’re the Operations Partner trusted by 2,300+ GPs, unifying technology, data, and fund administration services into a single platform that helps GPs move faster, make&hellip;","Canada, USA",Any (Global Remote),remote,Global,,Finance & Accounting,Full-Time,,,,USD,2026-09-05T11:24:59+00:00,,Other Tech,https://jobicy.com/jobs/152588-director-fund-administration-accounting,2026-09-05T17:43:14+00:00
afbe95408524a83e,jobicy,152587,Global Specialized Domain Expert Recruiter (Contractor),Labelbox,"Shape the Future of AI At Labelbox, we're building the critical infrastructure that powers breakthrough AI models at leading research labs and enterprises. Since 2018, we've been pioneering data-centric approaches that are fundamental to AI development, and our work becomes even more essential as AI capabilities expand exponentially. About Labelbox We're the only company offering&hellip;","LATAM, Europe, USA",Any (Global Remote),remote,Global,,HR & Recruiting,Contract,,,,,2026-09-05T11:24:44+00:00,,Data & AI,https://jobicy.com/jobs/152587-global-specialized-domain-expert-recruiter-contractor,2026-09-05T17:43:14+00:00
16c14c23707ae5c9,jobicy,152581,Condition Monitoring Engineer,AssetWatch,"AssetWatch serves global manufacturers by powering manufacturing uptime through the delivery of an unparalleled condition monitoring experience, with a passion to care about the assets our customers care for every day. We are a devoted and capable team that includes world-renowned engineers and distinguished business leaders united by a common goal – To build the&hellip;",Mexico,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,,2026-09-05T11:22:19+00:00,,Other Tech,https://jobicy.com/jobs/152581-condition-monitoring-engineer,2026-09-05T17:43:14+00:00
43549fb6981b5794,jobicy,152580,GTM Engineer (Mexico Only - Remote),Varicent,"At Varicent, we’re not just transforming the Sales Performance Management (SPM) market—we’re redefining how organizations achieve revenue success. Our cutting-edge SaaS solutions empower revenue leaders globally to design smarter go-to-market strategies, maximize seller performance, and unlock untapped potential. Varicent stands at the forefront of innovation, celebrated as a market leader in the 2025 Forrester Wave&hellip;",Mexico,Any (Global Remote),remote,Global,,Product & Operations,Full-Time,,,,MXN,2026-09-05T11:22:02+00:00,,Other Tech,https://jobicy.com/jobs/152580-gtm-engineer-mexico-only-remote,2026-09-05T17:43:14+00:00
c5decce35917de12,jobicy,152574,Solution Engineer,RelationalAI,"Who We Are At RelationalAI, we’re solving one of the most important challenges in artificial intelligence: how to teach large language models the logic, semantics, and business context of the modern enterprise. Frontier models are trained almost entirely on public data — they can speak about the world, but they don’t understand your business. We&hellip;",Anywhere,Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,USD,2026-09-05T11:18:47+00:00,,Data & AI,https://jobicy.com/jobs/152574-solution-engineer-3,2026-09-05T17:43:14+00:00
4257db8c3ae5a630,jobicy,152572,Area Pre-Sales Engineer France,Ajax Systems,"Ajax Systems is an international tech company and the largest manufacturer of security systems in Europe, with over 4.5 million end users and 330K PRO users in more than 180 countries worldwide. The company offers end-to-end solutions for protecting homes and businesses оf any scale. To date, Ajax product portfolio includes 280 devices for intrusion&hellip;",France,Any (Global Remote),remote,Global,,Technical Support,Full-Time,,,,,2026-09-05T11:18:14+00:00,,Other Tech,https://jobicy.com/jobs/152572-area-pre-sales-engineer-france,2026-09-05T17:43:14+00:00
50c61ae34989c7e5,jobicy,152549,Senior Site Reliability Engineer I,Braze,"At Braze, we have found our people. We’re a genuinely approachable, exceptionally kind, and intensely passionate crew. We seek to ignite that passion by setting high standards, championing teamwork, and creating work-life harmony as we collectively navigate rapid growth on a global scale while striving for greater equity and opportunity – inside and outside our&hellip;",Canada,Any (Global Remote),remote,Global,,DevOps & Infrastructure,Full-Time,,,,CAD,2026-09-04T17:07:38+00:00,,DevOps & Cloud,https://jobicy.com/jobs/152549-senior-site-reliability-engineer-i,2026-09-05T17:43:14+00:00
84ee0ed00614d61a,jobicy,152547,Senior Full Stack Engineer,Fueled,"Location: Remote — (Open to applicants located anywhere around the globe) Fueled is a leading digital strategy, design, and engineering agency. We are a 300+ person team that has designed and built hundreds of digital products and experiences for brands like Google, Apple, The New York Times, ESPN, Victoria’s Secret, MGM Resorts, Albertsons, and CLEAR.&hellip;",Anywhere,Any (Global Remote),remote,Global,,Software Engineering,Contract,,,,,2026-09-04T17:06:54+00:00,,Software Development,https://jobicy.com/jobs/152547-senior-full-stack-engineer,2026-09-05T17:43:14+00:00
bdffb357b689d472,jobicy,152539,"Senior Software Engineer, Frontend",Phantom,"Phantom is on a mission to connect the world to the freedom of open markets. Tens of millions of people all over the world use Phantom to access global markets that never close, including perpetuals, prediction markets, tokenized assets, stablecoins and memes. Phantom users are able to discover the markets that matter and the cultural&hellip;","LATAM, Canada, Europe, USA",Any (Global Remote),remote,Global,,Software Engineering,Full-Time,,,,USD,2026-09-04T17:04:10+00:00,,Software Development,https://jobicy.com/jobs/152539-senior-software-engineer-frontend,2026-09-05T17:43:14+00:00
f2b8f72b662a9b2c,jobicy,152530,Business Operations Director,HackerOne,"HackerOne is a global leader in Continuous Threat Exposure Management (CTEM). The HackerOne Platform unites agentic AI solutions with the ingenuity of the world’s largest community of security researchers to continuously discover, validate, prioritize, and remediate exposures across code, cloud, and AI systems. Through solutions like bug bounty, vulnerability disclosure, agentic pentesting, AI red teaming,&hellip;",USA,Any (Global Remote),remote,Global,,Product & Operations,Full-Time,,,,USD,2026-09-04T13:35:27+00:00,,Data & AI,https://jobicy.com/jobs/152530-business-operations-director,2026-09-05T17:43:14+00:00
